item,no,px,py,pz
node,224,18000,18000,21000
node,225,0,0,18000
node,226,0,6000,18000
node,227,0,12000,18000
node,228,0,18000,18000
node,229,6000,0,18000
node,230,6000,6000,18000
node,231,6000,12000,18000
node,232,6000,18000,18000
node,233,12000,0,18000
node,234,12000,6000,18000
node,235,12000,12000,18000
node,236,12000,18000,18000
node,237,18000,0,18000
node,238,18000,6000,18000
node,239,18000,12000,18000
node,240,18000,18000,18000
node,241,0,0,15000
node,242,0,6000,15000
node,243,0,12000,15000
node,244,0,18000,15000
node,245,6000,0,15000
node,246,6000,6000,15000
node,247,6000,12000,15000
node,248,6000,18000,15000
node,249,12000,0,15000
node,250,12000,6000,15000
node,251,12000,12000,15000
node,252,12000,18000,15000
node,253,18000,0,15000
node,254,18000,6000,15000
node,255,18000,12000,15000
node,256,18000,18000,15000
node,257,0,0,12000
node,258,0,6000,12000
node,259,0,12000,12000
node,260,0,18000,12000
node,261,6000,0,12000
node,262,6000,6000,12000
node,263,6000,12000,12000
node,264,6000,18000,12000
node,265,12000,0,12000
node,266,12000,6000,12000
node,267,12000,12000,12000
node,268,12000,18000,12000
node,269,18000,0,12000
node,270,18000,6000,12000
node,271,18000,12000,12000
node,272,18000,18000,12000
node,273,0,0,9000
node,274,0,6000,9000
node,275,0,12000,9000
node,276,0,18000,9000
node,277,6000,0,9000
node,278,6000,6000,9000
node,279,6000,12000,9000
node,280,6000,18000,9000
node,281,12000,0,9000
node,282,12000,6000,9000
node,283,12000,12000,9000
node,284,12000,18000,9000
node,285,18000,0,9000
node,286,18000,6000,9000
node,287,18000,12000,9000
node,288,18000,18000,9000
node,289,0,0,6000
node,290,0,6000,6000
node,291,0,12000,6000
node,292,0,18000,6000
node,293,6000,0,6000
node,294,6000,6000,6000
node,295,6000,12000,6000
node,296,6000,18000,6000
node,297,12000,0,6000
node,298,12000,6000,6000
node,299,12000,12000,6000
node,300,12000,18000,6000
node,301,18000,0,6000
node,302,18000,6000,6000
node,303,18000,12000,6000
node,304,18000,18000,6000
node,305,0,0,3000
node,306,0,6000,3000
node,307,0,12000,3000
node,308,0,18000,3000
node,309,6000,0,3000
node,310,6000,6000,3000
node,311,6000,12000,3000
node,312,6000,18000,3000
node,313,12000,0,3000
node,314,12000,6000,3000
node,315,12000,12000,3000
node,316,12000,18000,3000
node,317,18000,0,3000
node,318,18000,6000,3000
node,319,18000,12000,3000
node,320,18000,18000,3000
node,321,0,0,0
node,322,0,6000,0
node,323,0,12000,0
node,324,0,18000,0
node,325,6000,0,0
node,326,6000,6000,0
node,327,6000,12000,0
node,328,6000,18000,0
node,329,12000,0,0
node,330,12000,6000,0
node,331,12000,12000,0
node,332,12000,18000,0
node,333,18000,0,0
node,334,18000,6000,0
node,335,18000,12000,0
node,336,18000,18000,0
